0.380626, 0.116291, 0.777529
-0.086630, -0.242403, 1.575481
-0.082392, -0.020062, 0.629073
-0.190670, -0.025116, 1.567186
-0.423643, -0.053203, 1.983796
-0.668499, -0.031489, 2.832707
-0.296256, -0.142063, 2.389889
-0.583929, -0.222914, 3.034977
-0.756194, -0.197098, 3.828277
-0.023756, -0.338111, 1.191366
-0.051302, -0.357752, 1.088242
0.007855, -0.274521, 1.376700
-0.096815, -0.611430, 2.247114
0.280271, -0.115697, 0.922691
0.277483, -0.158828, 0.895228
0.630531, -0.174705, 1.327429
0.438693, -0.105185, 0.991212
0.295542, -0.019287, 0.791227
0.256610, -0.009322, 0.938063
0.293119, -0.006625, 0.946126
0.271823, -0.064076, 0.965433
0.295985, -0.055161, 0.939893
0.378487, -0.002978, 0.849285
0.391385, -0.003315, 0.797194
0.291705, -0.021841, 0.705870
0.429909, -0.087497, 0.972668
0.059491, -0.083194, 0.679427
0.064103, -0.102955, 0.678004
0.130690, -0.090468, 0.851733
0.104936, -0.109655, 0.774790
0.151303, -0.133670, 0.880415
0.051743, -0.013525, 0.706207
0.100721, -0.044439, 0.815970
0.761264, -0.550875, 1.548811
0.012323, -0.388013, 1.156406
0.121402, -0.163996, 0.792455
-0.143867, 0.227521, 0.835109
-0.181529, 0.211486, 0.782354
-0.240009, 0.207326, 1.010424
-0.091863, 0.229282, 0.863211
-0.103648, 0.193449, 0.644281
-0.115651, 0.200670, 0.646460
-0.005588, 0.223978, 0.701182
-0.042285, 0.199081, 0.597965
-0.046956, 0.183244, 0.638075
-0.211364, 0.125535, 0.490618
-0.222825, 0.146956, 0.726309
-0.228481, 0.157027, 0.742737
-0.208463, 0.165836, 0.519048
-0.476898, 0.151372, 2.335855
-0.380596, 0.163332, 1.943100
-0.242768, 0.037876, 1.462752
-0.379466, 0.058031, 1.785032
-0.153048, 0.098430, 1.470528
-0.150999, 0.050603, 1.456367
-0.259223, 0.228567, 1.489047
-0.279134, 0.224070, 1.515975
-0.190427, 0.158272, 0.986378
-0.247288, 0.025112, 0.790506
-0.264787, 0.178751, 1.070826
